"chemin","class","classe_CLOC","classe_LOC","classe_DC"
"org/jfree/chart/event/RendererChangeEvent.java","org.jfree.chart.event.RendererChangeEvent","68.0","21.0","3.24"
"org/jfree/chart/plot/ThermometerPlot.java","org.jfree.chart.plot.ThermometerPlot","676.0","805.0","0.84"
"org/jfree/data/resources/DataPackageResources_fr.java","org.jfree.data.resources.DataPackageResources_fr","49.0","13.0","3.77"
"org/jfree/chart/text/TextBlock.java","org.jfree.chart.text.TextBlock","134.0","150.0","0.89"
"org/jfree/chart/labels/XYSeriesLabelGenerator.java","org.jfree.chart.labels.XYSeriesLabelGenerator","52.0","5.0","10.4"
"org/jfree/chart/axis/DateTick.java","org.jfree.chart.axis.DateTick","78.0","43.0","1.81"
"org/jfree/chart/title/Title.java","org.jfree.chart.title.Title","214.0","184.0","1.16"
"org/jfree/chart/urls/XYURLGenerator.java","org.jfree.chart.urls.XYURLGenerator","52.0","5.0","10.4"
"org/jfree/data/xy/XYRangeInfo.java","org.jfree.data.xy.XYRangeInfo","50.0","7.0","7.14"
"org/jfree/chart/renderer/category/ScatterRenderer.java","org.jfree.chart.renderer.category.ScatterRenderer","265.0","270.0","0.98"
"org/jfree/chart/util/AbstractObjectList.java","org.jfree.chart.util.AbstractObjectList","115.0","126.0","0.91"
"org/jfree/data/statistics/MeanAndStandardDeviation.java","org.jfree.data.statistics.MeanAndStandardDeviation","93.0","59.0","1.58"
"org/jfree/data/Range.java","org.jfree.data.Range","243.0","199.0","1.22"
"org/jfree/data/xy/XYSeriesCollection.java","org.jfree.data.xy.XYSeriesCollection","318.0","365.0","0.87"
"org/jfree/chart/text/TextUtils.java","org.jfree.chart.text.TextUtils","307.0","419.0","0.73"
"org/jfree/data/xy/TableXYDataset.java","org.jfree.data.xy.TableXYDataset","53.0","4.0","13.25"
"org/jfree/chart/editor/DefaultPolarPlotEditor.java","org.jfree.chart.editor.DefaultPolarPlotEditor","81.0","115.0","0.7"
"org/jfree/data/DefaultKeyedValues2D.java","org.jfree.data.DefaultKeyedValues2D","252.0","266.0","0.95"
"org/jfree/chart/renderer/OutlierListCollection.java","org.jfree.chart.renderer.OutlierListCollection","109.0","51.0","2.14"
"org/jfree/chart/event/PlotChangeEvent.java","org.jfree.chart.event.PlotChangeEvent","52.0","13.0","4.0"
"org/jfree/chart/util/ShapeUtils.java","org.jfree.chart.util.ShapeUtils","245.0","305.0","0.8"
"org/jfree/data/general/HeatMapUtils.java","org.jfree.data.general.HeatMapUtils","67.0","50.0","1.34"
"org/jfree/chart/event/RendererChangeListener.java","org.jfree.chart.event.RendererChangeListener","44.0","5.0","8.8"
"org/jfree/chart/plot/flow/FlowPlot.java","org.jfree.chart.plot.flow.FlowPlot","300.0","462.0","0.65"
"org/jfree/data/xml/DatasetReader.java","org.jfree.data.xml.DatasetReader","89.0","75.0","1.19"
"org/jfree/chart/ui/FontDisplayField.java","org.jfree.chart.ui.FontDisplayField","57.0","32.0","1.78"
"org/jfree/chart/plot/XYCrosshairState.java","org.jfree.chart.plot.XYCrosshairState","46.0","6.0","7.67"
"org/jfree/chart/util/SortOrder.java","org.jfree.chart.util.SortOrder","50.0","16.0","3.13"
"org/jfree/data/json/impl/JSONArray.java","org.jfree.data.json.impl.JSONArray","72.0","72.0","1.0"
"org/jfree/chart/block/GridArrangement.java","org.jfree.chart.block.GridArrangement","166.0","249.0","0.67"
"org/jfree/chart/event/ChartProgressListener.java","org.jfree.chart.event.ChartProgressListener","44.0","5.0","8.8"
"org/jfree/chart/encoders/ImageEncoderFactory.java","org.jfree.chart.encoders.ImageEncoderFactory","91.0","53.0","1.72"
"org/jfree/chart/axis/NumberTickUnitSource.java","org.jfree.chart.axis.NumberTickUnitSource","57.0","158.0","0.36"
"org/jfree/data/general/DefaultPieDataset.java","org.jfree.data.general.DefaultPieDataset","186.0","130.0","1.43"
"org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java","org.jfree.chart.renderer.category.MinMaxCategoryRenderer","226.0","276.0","0.82"
"org/jfree/chart/event/ChartChangeListener.java","org.jfree.chart.event.ChartChangeListener","48.0","5.0","9.6"
"org/jfree/chart/axis/AxisCollection.java","org.jfree.chart.axis.AxisCollection","78.0","48.0","1.63"
"org/jfree/chart/block/FlowArrangement.java","org.jfree.chart.block.FlowArrangement","178.0","241.0","0.74"
"org/jfree/data/xy/XYBarDataset.java","org.jfree.data.xy.XYBarDataset","230.0","126.0","1.83"
"org/jfree/chart/ui/Align.java","org.jfree.chart.ui.Align","60.0","72.0","0.83"
"org/jfree/chart/editor/DefaultTitleEditor.java","org.jfree.chart.editor.DefaultTitleEditor","104.0","170.0","0.61"
"org/jfree/chart/axis/DateTickUnit.java","org.jfree.chart.axis.DateTickUnit","175.0","144.0","1.22"
"org/jfree/chart/util/Rotation.java","org.jfree.chart.util.Rotation","55.0","21.0","2.62"
"org/jfree/chart/editor/DefaultChartEditor.java","org.jfree.chart.editor.DefaultChartEditor","96.0","151.0","0.64"
"org/jfree/data/flow/FlowDataset.java","org.jfree.data.flow.FlowDataset","109.0","14.0","7.79"
"org/jfree/chart/renderer/GrayPaintScale.java","org.jfree.chart.renderer.GrayPaintScale","121.0","84.0","1.44"
